event,date,region,netplay,version,p1name,p1char1,p1char2,p1char3,p2name,p2char1,p2char2,p2char3,url
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,Worldjem,PC,FU,FI,240p | Richmael,VA,PS,DB,https://youtu.be/MY9202HZjnc?t=19m14s
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,keninblack,PS,DB,N,KhaosMuffins,MF,EL,N,https://youtu.be/MY9202HZjnc?t=23m57s
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,Warped Echo,PW,FI,DB,WingZero,PS,FI,N,https://youtu.be/MY9202HZjnc?t=30m12s
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,Worldjem,PC,FU,FI,Mike Z,CE,BB,N,https://youtu.be/MY9202HZjnc?t=35m54s
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,Elda Taluda,PW,MF,CE,SwaterDan,FU,VA,MF,https://youtu.be/MY9202HZjnc?t=40m48s
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,keninblack,PS,DB,N,evilben,FI,CE,N,https://youtu.be/MY9202HZjnc?t=46m43s
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,KhaosMuffins,MF,N,N,WingZero,FI,PS,N,https://youtu.be/MY9202HZjnc?t=53m21s
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,keninblack,PS,DB,N,Warped Echo,PW,BB,N,https://youtu.be/MY9202HZjnc?t=58m42s
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,Elda Taluda,PW,MF,CE,Worldjem,PC,FU,FI,https://youtu.be/MY9202HZjnc?t=1h5m34s
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,keninblack,PC,DB,N,KhaosMuffins,MF,EL,N,https://youtu.be/MY9202HZjnc?t=1h15m6s
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,Rabspat,PW,PS,N,SwaterDan,FU,VA,N,https://youtu.be/MY9202HZjnc?t=1h21m
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,Rabspat,PW,PS,N,Worldjem,PC,FU,FI,https://youtu.be/MY9202HZjnc?t=1h30m2s
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,Tommer,SQ,CE,N,LSP,PW,PS,N,https://youtu.be/viO1pGPn7tQ?t=1m58s
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,Clawsome Bombs,MF,EL,N,DaPurpleSharpie,EL,N,N,https://youtu.be/viO1pGPn7tQ?t=7m13s
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,lostCambion,BB,FU,N,H.Anibae-Chan,PS,EL,N,https://youtu.be/viO1pGPn7tQ?t=13m27s
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,Kai,PS,CE,BB,Mr Peck,FI,CE,PC,https://youtu.be/viO1pGPn7tQ?t=16m48s
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,Duckator,VA,FI,DB,LUC | Spidey_Mikey,BW,FU,N,https://youtu.be/viO1pGPn7tQ?t=26m30s
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,#BajaBoys | FuLLBLeeD,MF,BB,N,Drewski,BB,CE,N,https://youtu.be/viO1pGPn7tQ?t=32m46s
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,H.Anibae-Chan,PS,EL,N,Skarmand,FU,PS,CE,https://youtu.be/viO1pGPn7tQ?t=38m10s
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,ShadeMoneh,PS,FI,N,Duckator,VA,FI,DB,https://youtu.be/viO1pGPn7tQ?t=42m33s
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,Kai,PS,CE,BB,Skarmand,FU,PS,CE,https://youtu.be/viO1pGPn7tQ?t=48m31s
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,dekillsage,BB,SQ,N,LSP,PW,PS,N,https://youtu.be/viO1pGPn7tQ?t=55m42s
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,ShadeMoneh,PS,FI,N,Drewski,BB,CE,N,https://youtu.be/viO1pGPn7tQ?t=1h53s
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,Kai,PS,CE,BB,Double Dork,BW,CE,N,https://youtu.be/viO1pGPn7tQ?t=1h8m51s
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,LSP,PW,PS,N,Mr Peck,CE,FI,PC,https://youtu.be/viO1pGPn7tQ?t=1h14m25s
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,dekillsage,FU,CE,N,Skarmand,PS,FU,CE,https://youtu.be/viO1pGPn7tQ?t=1h22m40s
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,#BajaBoys | FuLLBLeeD,MF,BB,N,Duckator,VA,FI,DB,https://youtu.be/viO1pGPn7tQ?t=1h28m12s
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,LSP,PW,PS,N,Kai,PS,CE,BB,https://youtu.be/viO1pGPn7tQ?t=1h35m56s
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,#BajaBoys | FuLLBLeeD,MF,BB,N,Drewski,BB,CE,N,https://youtu.be/viO1pGPn7tQ?t=1h44m22s
